Año_encuesta;Region;PIA;PIM;Certificacion;Compromiso_anual;Atencion_compromiso_mensual;Devengado;Girado;%_avance;Devengado en Millones;indice_real;consumo_hierro;
2018;LORETO;1338858;20749193;20652652;20652651;20652651;20630545;20623875;99.4;20.630545;0.574398917;0.353381208;
2018;MADRE DE DIOS;75738;1026366;179508;179508;177707;175047;174987;17.1;0.175047;0.547975404;0.220835938;
2018;MOQUEGUA;116946;568197;124022;119174;119174;119174;119174;21;0.119174;0.338999782;0.388907259;
2018;PASCO;780800;1639013;1284864;1283095;1256228;1196128;1196128;73;1.196128;0.586839116;0.355970298;
2018;PIURA;382737;2972514;2273182;1896628;1850289;1849317;1849317;62.2;1.849317;0.442048529;0.389129429;
2018;PUNO;3992197;5816215;4476558;4476548;4476548;4476543;4474468;77;4.476543;0.67683289;0.219525479;
2018;SAN MARTIN;1447317;4184037;3320947;3208407;2939627;2939387;2939387;70.3;2.939387;0.501416953;0.292959585;
2018;TACNA;39410;546896;316928;164166;164166;164166;164166;30;0.164166;0.349004236;0.318108996;
2018;TUMBES;105572;971276;952146;952146;952146;952146;952146;98;0.952146;0.471570974;0.390753337;
2018;UCAYALI;665796;1581460;1254959;1254959;1254958;1251329;1251329;79.1;1.251329;0.56388519;0.218213256;
2018;LIMA;2526196;3235154;3153608;3153289;3153289;3153289;3152676;97.5;3.153289;0.404542371;0.325354462;
2018;CALLAO;787660;2162244;1597505;1519863;1503867;1502773;1496953;69.5;1.502773;0.370028069;0.279431663;
2019;AMAZONAS;6030045;7607407;7429887;7325326;7325268;7324218;7320759;96.3;7.324218;0.363806768;0.365491429;
2019;ANCASH;2566348;5320771;5055751;4869167;4869167;4868120;4868106;91.5;4.86812;0.402329488;0.359812737;
2019;APURIMAC;3583459;5262939;4953180;4952939;4952939;4918922;4918833;93.5;4.918922;0.479491951;0.498042957;
2019;AREQUIPA;1608742;3849960;3658428;3631428;3631428;3631410;3631410;94.3;3.63141;0.339075772;0.351622833;
2019;AYACUCHO;6207885;10337902;10249447;10072414;10067713;10063003;10061003;97.3;10.063003;0.450242294;0.420112504;
2019;CAJAMARCA;7863293;11234327;11010454;10957087;10930449;10925728;10924658;97.3;10.925728;0.287403843;0.399037989;
2019;CUSCO;5462164;8252814;7955640;7075997;7009995;7009995;7009745;84.9;7.009995;0.573849995;0.418612597;
2019;HUANCAVELICA;2162669;5938237;5567819;5566822;5552374;5552235;5552145;93.5;5.552235;0.542126212;0.474472253;
2019;HUANUCO;1434081;2960960;2868254;2775822;2769932;2769172;2769142;93.5;2.769172;0.391104085;0.347868798;
2019;ICA;1648543;2379603;2331660;2308980;2307980;2307820;2307345;97;2.30782;0.375452954;0.299625983;
2019;JUNIN;3997614;5813402;5779213;5775191;5774999;5774338;5771818;99.3;5.774338;0.525539801;0.318369732;
2019;LA LIBERTAD;3425675;5168159;4544233;4490944;4490944;4488126;4488055;86.8;4.488126;0.342115512;0.309692743;
2019;LAMBAYEQUE;2120071;4668648;3823776;3759215;3759215;3758967;3758967;80.5;3.758967;0.390462307;0.256722522;
2019;LORETO;16397347;23470154;23298021;23154656;23152256;23139656;23129252;98.6;23.139656;0.529718663;0.344482094;
2019;MADRE DE DIOS;307765;1274422;921656;893387;886287;878760;878305;69;0.87876;0.51412121;0.277944903;
2019;MOQUEGUA;74337;743580;501395;491162;491162;490147;490139;65.9;0.490147;0.331630603;0.315707761;
2019;PASCO;1320658;2255595;2066745;1878604;1858644;1858644;1858404;82.4;1.858644;0.502219398;0.366621342;
2019;PIURA;1014678;4665115;4398654;3702741;3628424;3621849;3621829;77.6;3.621849;0.43774431;0.409439459;
2019;PUNO;4010881;6519561;6442585;6442292;6442292;6436967;6428700;98.7;6.436967;0.699143123;0.324251808;
2019;SAN MARTIN;2140800;7744154;6059933;5847062;5715022;5709672;5709375;73.7;5.709672;0.442799169;0.318650358;
2019;TACNA;124719;622087;575496;575495;575495;575495;575495;92.5;0.575495;0.327011345;0.339598222;
2019;TUMBES;581372;1077711;1018902;1002556;990679;990679;985113;91.9;0.990679;0.444347667;0.406381615;
2019;UCAYALI;973920;2867586;2408071;2358401;2313757;2305238;2304883;80.4;2.305238;0.537230945;0.247708226;
2019;LIMA;3199760;4061752;3978374;3977955;3950403;3939211;3939211;97;3.939211;0.396454313;0.416843103;
2019;CALLAO;1232492;2434207;1911486;1625854;1625854;1625854;1625854;66.8;1.625854;0.353062762;0.299807425;
2020;AMAZONAS;5968080;7240902;6928303;6922828;6922828;6922763;6922539;95.6;6.922763;0.32138716;0.32350727;
2020;ANCASH;2849450;4219841;3937153;3746785;3746785;3746785;3746785;88.8;3.746785;0.356228593;0.39826607;
2020;APURIMAC;4259980;5607309;5395314;5384782;5384782;5384279;5384279;96;5.384279;0.519964958;0.461329191;
2020;AREQUIPA;1569862;3566717;3219821;3217661;3217661;3217661;3217661;90.2;3.217661;0.469670526;0.338015396;
2020;AYACUCHO;5240808;6620610;6213371;6165666;6165666;6164599;6164599;93.1;6.164599;0.449746012;0.382931347;
2020;CAJAMARCA;8625203;11139334;10904133;10845980;10845980;10845980;10845950;97.4;10.84598;0.395366087;0.389652056;
2020;CUSCO;4912035;6040525;5830847;5830713;5820735;5793910;5793910;95.9;5.79391;0.496573189;0.482190085;
2020;HUANCAVELICA;2247771;4124345;3610080;3610051;3610051;3610051;3610051;87.5;3.610051;0.448408841;0.411974004;
2020;HUANUCO;734134;1197789;940138;939070;937447;937447;937273;78.3;0.937447;0.422302903;0.318197064;
2020;ICA;1402796;2104033;2048092;2044529;2044529;2044489;2044489;97.2;2.044489;0.339286871;0.250807984;
2020;JUNIN;4134922;6806848;6495718;6384637;6384637;6372863;6372863;93.6;6.372863;0.456241993;0.317582822;
2020;LA LIBERTAD;4899763;5738537;5249028;5246093;5245369;5245369;5245369;91.4;5.245369;0.385515472;0.328531081;
2020;LAMBAYEQUE;2531782;2813330;2579825;2579825;2579825;2579825;2578400;91.7;2.579825;0.375926589;0.23448015;
2020;LORETO;6742248;19344558;19092676;19060096;19060096;19046930;19046340;98.5;19.04693;0.479903048;0.271383983;
2020;MADRE DE DIOS;22120;406744;271700;271700;271700;271700;271700;66.8;0.2717;0.586029642;0.364807356;
2020;MOQUEGUA;143311;410863;276289;276289;243089;243089;243089;59.2;0.243089;0.321861288;0.263678428;
2020;PASCO;1343917;2543135;2085375;2065649;2064785;2054827;2054827;80.8;2.054827;0.489149174;0.356112335;
2020;PIURA;1293506;2979033;2396556;2392694;2392694;2388102;2388102;80.2;2.388102;0.426308566;0.437826405;
2020;PUNO;4321097;5829647;5492548;5442684;5442684;5442684;5432481;93.4;5.442684;0.687722201;0.305109715;
2020;SAN MARTIN;2862113;4162082;3874762;3874762;3873762;3873762;3873362;93.1;3.873762;0.465801354;0.357063243;
2020;TACNA;131365;368739;283718;283718;283718;283718;283718;76.9;0.283718;0.257578163;0.380623026;
2020;TUMBES;624502;843323;767410;767410;766552;766552;766553;90.9;0.766552;0.39115508;0.396576766;
2020;UCAYALI;986705;2720539;2460284;2434525;2434525;2434525;2434525;89.5;2.434525;0.608029984;0.265326421;
2020;LIMA;3772230;3903851;3772735;3772435;3769615;3769606;3769481;96.6;3.769606;0.310492791;0.391044316;
2020;CALLAO;674449;1777537;917491;917079;870640;870472;870472;49;0.870472;0.301626645;0.239012705;
